,N4_2,N4_3,N4_4,N7_2,N7_3,N7_4,N9_2,N9_3,N9_4
LPCAT1,52,88,65,68,166,250,197,166,47
GRHL3,1,2,2,3,1,2,2,0,4
SNTG2,2,2,3,2,0,0,0,0,0
CSRP2,216,187,283,245,183,243,81,60,50
TNFAIP8L2,0,0,0,0,0,0,0,0,0
NDNF,3,3,7,35,28,23,18,12,10
ZNF341-AS1,0,0,1,0,0,1,0,0,0
FAM169A,1198,1073,1467,1740,1134,1792,1416,1282,1190
RALY-AS1,39,33,58,61,43,67,70,55,52
MIR4755,3,3,3,7,5,1,2,1,2
XDH,1,0,0,0,0,0,0,1,0
SLC25A5,3900,3176,4594,6394,4348,6312,7143,6006,5212
LARP4B,1388,1429,1627,2568,2385,2548,2428,1970,1923
MIR499B,1,0,0,0,0,1,1,1,0
SBDS,517,367,544,1838,1022,1674,1942,1638,1540
FAM83C-AS1,4,3,5,7,10,9,9,11,3
PEX2,455,367,464,654,454,644,712,601,492
IFTAP,135,114,166,189,130,216,139,141,119
MIR1289-1,2,3,9,5,4,3,3,2,1
WDR33,2810,2431,3345,2852,2140,2775,2698,2228,2030
PTPN18,536,468,616,536,526,584,542,492,416
TEX43,0,0,1,0,0,0,1,2,1
ERAS,2,0,0,4,0,0,0,0,0
FZD3,510,460,618,770,588,760,919,694,714
ALKBH7,218,158,239,407,261,312,327,300,225
COMMD2,497,400,613,832,537,832,784,599,562
ATP6V1D,784,614,985,1104,606,959,1015,933,830
RWDD1,586,460,702,1153,664,1046,1117,797,768
CERS4,187,152,220,248,189,219,190,134,117
LOC100130373,0,0,0,0,0,0,1,0,0
NHS,93,99,113,95,67,65,0,2,3
DLGAP4-AS1,1,0,1,1,1,2,3,7,0
POGK,2498,2308,3096,3432,2293,3365,2964,2376,2289
CRYGS,10,18,18,14,8,16,15,14,9
NCK2,507,424,650,641,517,598,539,485,385
APOBEC3F,162,182,220,169,255,162,173,147,168
TGFB2,199,95,53,3,1,1,3,1,0
TMEM141,470,416,617,1229,965,1357,1251,1042,979
CAMK2N1,11,16,16,3,1,4,3,4,2
GABRQ,0,0,0,0,0,0,0,0,0
STAMBPL1,113,95,141,192,136,237,228,195,212
DCK,968,788,1089,1354,822,1225,1242,954,886
PSMD14,4308,3320,5144,5090,2968,4756,4574,3686,3507
LOC100287792,1,0,0,0,0,0,0,0,1
ANKHD1,111,120,139,131,144,136,118,129,102
SIX4,956,822,1114,2771,2225,2852,1671,1405,1203
F8A1,19,11,18,20,15,16,15,19,21
KRT222,11,9,11,10,5,8,9,5,1
SNHG17,327,304,334,591,485,612,636,521,472
SNORA71B,19,21,26,40,33,42,53,31,23
SNORA71A,184,138,240,328,209,525,398,289,203
SNORA71C,50,49,50,72,66,96,84,84,74
SNORA71D,68,42,73,115,81,236,155,109,78
SNORA71E,3,4,1,8,9,18,7,4,5
SNORA60,6,7,12,10,12,10,11,12,10
MIR548O2,1,3,2,1,2,1,1,3,1
CNIH1,1847,1405,1999,2692,1739,2515,2643,2055,1932
TBKBP1,286,229,300,613,475,592,769,657,598
ANKMY2,497,366,608,591,399,553,622,452,467
LOC100128988,0,0,0,1,0,0,1,0,1
PLCG1-AS1,0,1,2,2,2,0,3,1,2
CDK2AP2,233,179,299,417,398,413,329,286,269
SIRT4,8,11,11,6,4,7,7,7,9
MIR6871,2,3,2,3,2,2,1,1,1
FOXRED1,208,167,267,342,311,371,352,314,260
UBIAD1,469,428,507,681,462,630,734,478,476
PCDHA11,53,48,83,46,37,47,32,40,30
CYBA,5,0,1,12,14,14,2,11,8
COL3A1,14391,12509,16011,23487,17599,24338,13319,11828,9925
LRIG1,33,37,55,31,16,16,14,21,21
COPE,1543,1272,2004,2015,1492,1940,2273,2039,1675
OSER1-DT,19,12,27,26,20,31,15,24,22
DDX55,597,522,809,932,564,973,991,823,723
DNASE1L1,355,287,449,648,500,639,539,457,451
ERMP1,742,694,734,1371,1194,1505,1721,1602,1418
DYRK1B,144,150,206,183,176,185,172,151,122
CIT,1398,1560,1518,2529,3192,2595,2012,1732,1658
CCAR2,2222,2030,2705,3315,2621,3446,2910,2555,2113
LINC01260,0,0,0,0,2,1,1,0,0
KCNK15-AS1,1,0,4,1,4,5,1,1,4
MON1B,464,388,489,825,691,814,669,594,536
DMGDH,4,5,9,6,7,7,3,5,4
STK4-AS1,6,7,8,5,5,4,7,5,11
ARRDC2,236,177,231,491,322,490,462,378,357
KRT19,1,2,0,1,8,1,5,5,5
SETD4,236,194,248,331,288,350,283,214,199
SYS1-DBNDD2,3,1,4,4,1,5,1,5,2
LOC105372631,8,2,11,3,5,4,5,5,3
UTP15,1179,1045,1364,1620,1007,1608,1962,1603,1482
MAGEC3,0,0,0,0,1,1,1,2,1
MAGEL2,0,0,0,0,0,1,0,0,0
SEMA6B,100,73,83,168,202,200,409,412,276
SLC12A5-AS1,9,6,12,10,12,19,11,7,22
BDH2,357,277,424,220,208,237,287,240,226
ESRRB,1,1,3,2,1,0,3,1,0
ERH,4042,2618,4726,5827,2764,5330,5721,4648,4293
CLTRN,4,1,6,9,5,13,8,6,3
NRIP1,561,491,799,1042,769,1197,565,556,452
LOC105372633,2,2,2,3,2,1,0,0,0
SMIM10L2B,18,21,20,29,23,14,11,13,12
ZNF658,173,153,200,194,138,193,194,159,155
MINAR1,13,12,15,42,35,32,29,31,23
ARC,66,48,85,206,172,202,223,251,196
MIR3616,1,1,0,1,0,0,2,1,0
AASS,126,117,184,198,156,155,16,21,18
LOC100131496,4,1,6,2,0,1,2,5,3
LOC101927377,14,10,11,5,3,3,9,7,4
LINC01754,1,1,0,3,0,1,1,4,2
ANKRD18A,169,260,144,219,387,226,160,170,100
LINC01522,0,0,1,1,2,1,0,0,0
LINC00494,0,0,0,0,0,0,0,0,0
H4C7,0,0,0,0,0,0,0,0,0
SATL1,2,1,4,10,11,11,13,11,11
CSE1L-AS1,6,5,3,9,6,8,12,11,4
PQBP1,661,488,701,1340,802,1301,1253,1047,944
PTP4A2,2422,2158,2922,4446,2728,3904,4059,3254,3135
HTR7,5,8,13,5,3,6,0,0,0
ZNF805,566,598,696,746,580,689,689,611,460
PUM1,2145,1811,2549,3038,2537,3114,2897,2484,2143
SNORD12C,66,30,47,86,42,63,80,35,38
SNORD12B,94,69,109,147,91,162,133,117,108
SNORD12,98,61,108,126,72,148,128,107,73
MARK4,300,267,309,387,434,411,398,360,303
HNRNPDL,5918,4615,6514,7913,4629,7154,7588,6386,5420
CDKAL1,492,394,548,611,421,532,433,381,362
SPTBN5,6,2,7,30,20,24,11,7,8
LOC105372653,7,1,10,4,5,7,4,6,7
ANG,10,5,18,19,22,22,22,15,13
UVRAG,382,329,384,703,532,620,624,476,427
IPCEF1,2,2,3,1,2,1,4,4,3
LINC01273,12,14,17,31,23,20,27,23,20
CEBPB-AS1,17,12,17,20,17,28,35,19,26
LINC01270,0,0,0,1,0,1,2,2,0
LINC01271,0,0,1,4,5,3,2,1,3
FBXO16,90,68,95,92,111,98,118,94,76
PPP1R36,4,2,6,28,18,21,14,7,10
MIR1302-5,1,1,2,2,1,1,0,1,0
LOC100506175,7,3,11,8,12,6,9,11,7
ADNP-AS1,13,16,20,15,10,15,16,16,20
NAV1,166,329,194,1675,2935,1611,1087,948,816
SPTLC2,850,664,880,1508,946,1220,1239,1022,940
SLTM,2106,1549,2388,2739,1744,2905,2588,2174,2054
TOE1,459,351,573,645,303,608,506,432,362
LRRC15,0,0,1,10,3,7,1,1,1
SLC22A5,209,192,235,364,304,429,426,304,292
LOC101927770,0,0,0,0,3,0,0,0,0
LOC105372672,5,11,9,8,10,15,8,14,3
UCK1,392,306,479,715,612,753,604,573,560
DPF3,0,0,0,4,0,5,13,10,5
RAB33B,372,303,493,463,269,429,425,320,333
LINC01716,0,0,0,0,0,0,0,0,1
TAT,1,0,0,3,4,2,0,0,0
RFC3,1187,958,1201,1743,1118,1673,1739,1482,1247
LOC100291105,1,0,0,1,0,0,2,0,1
ATG4C,178,145,217,252,183,232,249,217,199
GRK1,0,0,1,0,0,0,0,1,0
PPEF2,0,1,0,1,1,1,1,2,1
CASKIN1,44,29,33,67,88,56,71,65,44
EMX2OS,0,3,2,2,0,0,0,0,0
LINC01742,0,0,0,0,0,0,0,0,0
PPP4R1L,37,25,30,103,122,97,93,62,65
APCDD1L-DT,1,0,0,0,3,2,1,3,0
STX16-NPEPL1,7,11,2,15,19,10,8,14,6
CHMP4C,99,76,103,201,168,190,240,169,158
LOC101927932,0,1,0,1,0,1,0,1,0
KANK4,0,0,0,0,1,0,1,2,0
SCAND1,558,415,692,679,483,581,733,673,523
SLMO2-ATP5E,0,1,2,2,0,3,0,0,1
FAAH2,1,5,4,8,4,5,3,0,3
CHRM5,1,3,3,0,3,5,0,1,3
ZNF182,183,161,222,202,168,214,208,166,173
C5,110,112,148,86,87,87,87,68,70
CHRFAM7A,0,0,0,0,1,0,0,0,1
TUBB8,26,23,19,25,23,21,16,17,9
PPM1G,2899,2163,3536,5263,3334,5351,5529,4688,4246
DARS-AS1,25,22,31,19,21,23,14,10,20
PRDX1,11775,8366,13990,22267,12454,22173,16131,13276,12375
CPQ,104,114,122,205,129,202,180,145,134
MZT2B,2656,2022,3199,3058,1756,2321,2832,2404,1912
STN1,152,115,188,331,245,321,429,344,373
NR2E3,4,0,1,0,0,0,1,0,0
PGAP4,142,122,139,782,620,730,788,737,646
SMIM41,0,2,0,0,1,1,1,2,1
FAM131C,8,11,6,32,42,28,38,31,31
MIR1288,0,4,2,3,2,3,4,0,2
MIR1284,0,0,0,0,0,0,0,0,0
OGFR-AS1,2,1,3,2,1,1,5,2,0
DLGAP5,2507,1805,2989,4083,2591,3894,3680,3057,2871
SNORA117,1,3,0,5,2,5,3,3,2
ZNF330,620,448,710,917,519,893,1005,865,756
ZMIZ1,274,374,279,661,1174,749,649,707,571
ISLR,0,2,1,56,71,59,200,181,203
LINC01749,0,0,0,0,0,0,0,0,0
SBF2,1314,1349,1806,1042,974,1002,1217,988,916
FLJ16779,0,0,0,2,3,1,0,0,0
TRANK1,82,72,86,34,65,33,45,49,66
NUP42,326,269,432,533,258,464,626,517,441
MIR4326,2,1,2,4,4,3,8,6,0
BDKRB2,0,1,1,16,25,10,13,7,5
TOX4,866,741,1020,1014,781,1102,1183,991,961
YARS1,1711,1359,2172,2934,1904,3201,2425,2103,2156
LOC100130587,0,0,0,0,0,1,0,0,0
IFIT3,97,66,121,251,111,200,284,192,202
ZBTB5,632,662,770,730,590,668,829,675,630
HELZ2,274,262,296,415,442,387,445,387,316
MHENCR,67,57,54,105,87,95,116,77,83
RTEL1-TNFRSF6B,0,2,0,7,1,5,2,2,3
IL1RAPL2,0,0,0,0,0,0,0,1,0
PSMA3,2468,1859,2914,3736,2038,3347,3946,3270,2935
PSMA2,3801,2775,4537,5807,3344,5633,5838,4792,4303
LUCAT1,3,2,1,14,13,13,3,2,3
NKX2-1-AS1,0,1,0,0,0,0,0,0,0
RFX1,109,102,136,142,199,144,124,137,106
KHK,149,129,155,340,281,326,275,220,189
PHC3,2206,2139,2332,2311,2207,2424,2511,2027,1871
EVC,529,649,666,818,1051,974,756,674,594
KNL1,2877,2410,3683,4288,2930,3998,3768,3013,2867
KIF5B,4900,3802,5846,6823,4367,6391,5886,4751,4398
RBBP4,4219,3775,4409,6521,5299,5933,6421,4956,4580
MIR1914,2,4,0,3,8,5,1,2,1
UCKL1-AS1,5,2,7,3,1,2,6,4,1
JAG1,2,3,3,0,0,1,1,2,0
TCEAL3,4,1,0,1,1,1,1,0,0
MIR6813,0,2,1,3,0,0,1,1,0
PRSS27,13,13,13,18,13,22,19,16,14
LKAAEAR1,1,0,0,3,1,4,2,0,0
MYL9,3689,3365,4076,7665,6421,7277,6035,5140,4412
LINC00266-1,0,1,0,1,0,1,0,4,0
CDC20B,3,1,3,4,4,2,4,5,3
B3GNT5,0,0,0,2,1,2,2,0,1
EMILIN2,1,3,5,3,2,0,0,0,0
ZFPL1,366,261,460,541,397,526,481,457,377
PIPOX,4,6,6,14,10,3,6,9,8
GPR4,0,0,0,2,1,1,0,1,1
GPR3,100,108,107,206,144,146,228,201,174
ZIC5,120,78,101,122,85,86,134,113,117
PPCS,619,459,655,966,606,888,948,731,688
RNF168,786,627,885,1605,1018,1561,1506,1131,1070
LOC110091777,2,0,2,1,0,3,0,0,0
MAP3K20,1976,1720,2342,2865,1863,2601,2689,2150,2177
RNA45SN2,56,88,41,56,118,16,57,58,83
RNA28SN2,403,404,113,153,210,34,57,105,28
LOC114841035,18,20,28,26,18,25,29,29,25
RNA45SN3,219,348,164,220,658,154,139,132,88
TEKT4P2,76,68,95,278,182,270,5,7,8
LINC01667,3,10,7,32,57,39,30,22,24
SNAI3,8,15,9,16,18,18,16,9,14
CSNK1E,17,17,17,8,10,10,12,14,15
MMGT1,569,488,609,785,570,788,820,681,589
CYP4F29P,0,4,5,3,3,1,1,0,1
LOC110091776,3,4,1,7,7,8,0,2,0
ANKRD20A11P,3,1,6,7,9,13,1,0,1
FAM83C,0,0,0,1,0,0,0,0,0
DNAAF1,6,7,8,13,8,10,10,9,8
DLEC1,6,6,2,16,6,6,1,5,2
BCL2,12,6,8,4,1,4,23,25,36
LINC02246,7,5,8,8,3,12,2,4,2
MIR99AHG,766,844,939,595,538,596,417,363,309
C21orf91-OT1,2,4,8,17,4,19,3,4,3
PPP1CB,3962,3250,4156,6341,4530,5928,5277,4060,3843
DAAM2-AS1,0,0,0,2,0,1,0,0,0
MIR548XHG,3,5,0,0,0,0,0,1,0
LINC00317,0,0,0,0,0,0,2,1,1
LINC01425,0,0,0,0,0,0,1,0,2
LINC01687,0,2,3,0,0,0,1,0,0
LINC01684,0,0,1,1,0,0,0,1,0
LINC00158,1,4,1,5,0,3,4,2,1
CDHR3,7,12,9,27,31,27,32,16,13
PSTK,121,104,139,181,94,177,273,200,170
PRPS2,2600,2151,3087,4107,2619,4196,3932,3221,2872
CYYR1-AS1,1,0,0,0,0,2,0,0,0
LINC01695,0,0,0,1,3,1,0,0,0
ABCA2,919,989,866,1751,2663,1931,1507,1581,1123
UBE2J2,636,502,694,1002,743,924,932,787,627
TVP23C-CDRT4,0,2,2,4,3,7,3,3,4
COPA,3237,2788,3828,6622,5472,6312,5168,4360,3972
TNKS,1178,1148,1279,1350,1309,1349,1300,1132,1011
LINC00189,0,0,0,0,0,1,0,0,0
BACH1-IT2,6,11,12,12,19,19,8,13,8
BACH1-IT3,0,2,0,3,7,4,1,1,1
USP22,4548,4184,5754,7229,5903,7270,6621,5682,4942
KIAA0556,303,314,371,444,420,467,352,309,273
PLCB1,0,2,5,0,0,0,0,0,1
GRIK1-AS2,0,0,0,1,0,3,1,0,2
ESAM,8,5,8,13,11,6,5,4,7
PKHD1L1,1,0,0,0,0,0,1,0,1
FGG,4,4,16,2,3,7,4,5,2
SNORA80A,32,23,46,50,25,118,65,31,40
URB1-AS1,89,72,119,123,127,134,122,151,105
F5,1,1,2,0,7,6,0,0,0
PAXBP1-AS1,14,15,33,16,13,23,18,23,18
C21orf62-AS1,0,0,0,0,0,0,1,0,0
IFNAR2,315,407,331,413,418,439,387,299,302
IL10RB-DT,1,0,1,0,0,2,1,1,0
SYT11,33,13,25,22,16,15,11,9,16
CARNS1,7,3,3,6,9,4,14,3,3
METAP1,1283,1081,1442,1695,1111,1595,2033,1603,1521
WDR43,3285,2537,3829,5363,2746,4964,5404,4405,4016
TSPAN8,0,0,0,0,0,0,1,0,2
TBX10,0,0,0,0,0,1,0,0,0
SEMA4G,1,0,0,2,0,0,0,0,0
TUBB2B,0,0,0,0,1,0,0,0,0
SINHCAF,102,106,174,271,173,129,35,9,163
LOC101928126,1,0,1,17,11,5,15,14,18
TRMT12,481,390,613,616,382,667,666,578,486
SIX2,20,13,10,89,69,61,7,1,2
CYP2S1,18,19,23,9,15,17,4,7,4
DHX37,502,409,619,850,721,981,869,771,617
LINC01426,0,1,0,2,2,4,1,0,0
LOC101928269,0,0,0,0,1,0,0,1,0
BMI1,61,50,81,60,27,50,113,111,79
LOC100133286,0,0,0,0,0,0,0,0,0
CCER2,16,11,7,13,3,9,9,6,13
NBPF20,276,259,315,506,559,593,420,473,351
LOC105372795,5,3,3,19,12,11,7,7,13
IFITM3,761,648,961,2025,1372,1840,3343,2700,2798
CCDC116,0,0,2,7,10,4,6,3,3
TTC3-AS1,0,2,0,0,0,1,1,0,1
PRAG1,56,44,73,105,86,105,131,93,81
CPPED1,208,194,239,536,369,482,394,302,294
CNPY4,215,189,300,380,247,388,233,182,200
TANK,560,430,753,923,549,850,674,597,539
MBNL2,145,111,152,171,126,123,216,157,150
RB1-DT,2,2,6,4,6,7,4,4,8
TMEM107,385,264,368,618,346,508,470,345,312
RPS4X,12353,9459,14849,10652,6877,10707,20885,16859,15633
NPY1R,3,2,7,52,20,38,34,31,27
RPS5,6015,4603,7177,9708,6690,10060,10625,9423,7491
BRWD1-AS2,35,28,33,38,32,46,44,43,36
BRWD1-AS1,11,4,10,7,8,7,6,3,10
FALEC,17,14,23,26,20,32,21,21,20
MIR6508,1,2,3,0,0,0,0,0,1
FMR1-AS1,12,13,18,7,27,11,12,4,5
LINC00323,2,2,0,1,1,0,1,0,1
MIR3197,0,0,0,0,0,0,1,0,0
PLAC4,0,0,1,0,0,2,0,0,0
PLP2,2121,1625,2512,2852,1869,2610,2956,2570,2400
LINC00479,0,0,0,1,0,0,2,0,1
MIR6814,0,0,0,0,0,0,0,1,0
SNORA91,6,2,7,12,11,17,9,14,13
ZNF295-AS1,0,0,0,1,0,2,2,0,0
KRTAP5-7,1,1,0,0,1,1,1,0,0
FAM221B,1,1,0,1,0,0,1,0,0
WWC2,2490,2191,2904,3760,2218,3594,2850,2272,2074
TTC14,950,942,1186,1235,972,1238,1169,1041,946
LOC101930094,1,2,8,5,8,4,7,6,4
PRMT1,2791,2224,3247,4530,3032,4474,4138,3870,3085
CTBP1-DT,340,285,419,567,456,523,505,433,417
PAX8-AS1,60,83,90,95,76,79,38,48,38
MIR1207,4,5,5,6,8,4,7,3,6
MIR1204,12,16,12,13,13,15,11,10,17
MIR1183,1,2,0,2,1,3,2,2,2
MIR1180,1,1,2,3,1,0,3,0,3
MIR1296,12,11,7,9,12,6,12,6,10
MIR425,3,4,2,7,11,13,8,8,2
MIR365B,2,2,2,5,1,2,2,0,1
MIR365A,1,1,2,1,9,5,3,4,2
MINDY4,18,10,10,49,25,49,23,24,16
TMEM86B,45,51,31,57,45,55,56,56,39
LVRN,4,4,3,2,5,4,0,2,1
LINC00322,1,1,0,3,3,1,0,0,0
DUSP7,280,230,337,435,374,384,472,426,319
AATBC,1,3,2,0,2,1,6,3,3
SLC26A2,591,505,588,1003,785,988,913,703,742
TPBGL,0,1,0,0,0,0,0,0,1
LRRC3-DT,0,1,0,1,0,1,1,0,3
LINC02575,0,0,0,0,1,0,0,1,0
TSPEAR-AS1,5,4,4,80,100,97,86,91,70
TSPEAR-AS2,17,27,18,31,37,39,54,51,39
KANK3,12,2,12,6,17,7,13,10,4
MAIP1,749,622,953,811,467,792,812,731,664
LINC01424,39,43,50,47,52,73,59,68,48
CD164L2,0,0,0,0,0,0,0,0,2
LINC01547,139,125,152,236,200,235,239,247,245
SSR4P1,26,22,41,49,47,50,55,50,42
SLC25A42,115,101,121,230,232,240,218,153,167
CIAO3,260,221,315,549,414,588,533,462,382
POFUT2,267,256,318,507,513,543,411,389,328
LINC00316,0,0,0,2,0,0,0,0,0
EDEM1,864,807,937,1826,1546,1734,1318,1100,1000
RECQL,934,694,1106,1306,829,1170,1177,913,868
MIR6815,0,1,0,1,2,3,3,3,4
LINC01694,2,2,2,1,0,0,1,0,0
CCDC121,162,183,236,310,194,321,247,243,212
ATXN7L3B,1402,1126,1616,1897,1468,1817,2090,1804,1772
POTEH,0,1,0,0,0,0,0,0,0
ZNF354A,580,532,675,923,631,902,827,735,661
TAF13,470,302,604,600,316,582,589,498,435
TARBP1,545,514,673,905,661,923,1104,879,857
GNA13,1262,1098,1354,2072,1778,2013,2015,1502,1434
C21orf58,261,257,389,530,482,580,546,481,407
TONSL,968,834,939,1270,991,1166,1183,1108,792
IL17RB,202,181,219,443,306,412,469,413,342
AARS2,688,626,802,1080,846,1090,1052,960,800
TEX10,1196,989,1447,1727,1096,1774,1848,1636,1484
BCOR,840,789,886,1074,1177,1042,1115,933,863
TSR1,3057,2303,3608,5347,3333,5260,5586,4724,4106
SMURF1,692,603,853,1183,966,1093,956,762,645
DIP2A-IT1,6,14,9,12,26,21,17,8,5
TBC1D10A,188,181,270,227,172,252,203,183,159
KLK10,1,0,0,2,0,0,1,0,1
SNRNP70,2935,2215,3299,4113,2675,3820,4036,3470,2938
UPK3B,42,40,76,103,60,77,47,33,27
FRG1FP,0,1,0,0,1,1,0,0,1
PJVK,76,85,94,84,72,105,82,62,73
ANKRD62P1-PARP4P3,22,16,17,10,8,6,34,18,23
CECR7,436,369,481,647,634,685,784,629,583
LINC01664,0,1,0,0,0,0,0,0,1
HDHD5-AS1,9,12,17,11,14,16,22,11,11
RSL1D1,4517,3415,5357,6756,4006,6522,7430,5992,5409
TMOD4,9,14,10,25,12,21,16,14,11
DCAF10,560,509,615,939,830,939,967,796,764
RFC4,1316,1017,1568,1824,1123,1635,1905,1518,1421
SFRP5,0,0,0,0,0,0,1,0,0
SLC23A1,1,0,0,0,5,0,0,3,0
STON1,14,15,20,8,12,8,9,13,3
OXNAD1,377,412,420,603,591,700,605,510,456
MIR3198-1,1,6,2,6,3,1,0,1,3
LINC00528,0,0,0,0,0,0,1,0,0
MIR648,3,10,0,2,7,5,5,1,5
PI4KAP1,24,40,22,53,53,60,41,56,35
GGT3P,0,0,0,0,0,0,1,0,0
LOC102725072,0,1,0,0,0,0,0,0,1
DGCR9,30,23,46,61,83,89,80,45,57
DGCR10,5,6,5,13,12,13,10,11,14
TDRD3,182,180,220,380,285,318,356,296,257
MIR4306,2,0,0,2,2,2,1,0,0
MIR4295,1,1,2,2,3,1,1,1,0
MIR3188,0,0,0,0,1,1,0,0,2
DGCR11,112,122,138,124,123,128,141,112,114
LINC01311,62,54,95,84,50,93,99,87,77
DNAAF4,13,6,9,10,2,12,15,8,11
C22orf39,404,274,462,503,370,515,507,370,325
PDYN,0,0,0,0,0,0,0,0,0
SEPT5-GP1BB,11,6,8,19,14,14,21,34,15
PERCC1,1,0,0,1,0,0,2,0,0
MIR4761,3,2,0,0,2,5,3,4,2
DMC1,215,152,261,159,105,128,232,170,174
FGD5-AS1,2082,1758,2905,3634,2340,3472,3096,2566,2335
MIR107,0,0,3,0,1,3,0,4,1
SNORA77B,38,35,43,108,48,125,88,60,67
LOC284865,0,0,0,0,0,0,1,0,0
LINC00896,18,11,22,25,15,30,17,25,10
MIR1286,1,1,0,0,1,1,0,0,0
NR2F2,163,180,181,0,1,2,251,229,195
PDE7B,2,0,2,6,11,5,3,1,2
TMEM191A,147,123,210,389,162,323,303,244,210
GDNF,1,0,2,1,0,0,0,0,0
MTRNR2L2,3,2,0,1,5,0,0,1,4
MTRNR2L4,1,0,2,0,1,1,0,0,0
TDO2,0,2,0,20,0,1,16,0,0
TERF2,361,331,374,413,475,513,471,443,389
LINC01637,1,1,1,4,0,2,0,1,0
DIPK1C,0,0,0,0,0,0,0,0,0
STEAP4,1,0,0,0,0,0,0,0,0
HRK,11,9,9,3,3,5,2,2,3
CKAP2L,1156,920,1279,1369,1022,1102,1185,935,917
SPDYE18,0,5,3,8,3,1,9,3,4
TNFRSF4,3,0,2,3,1,1,0,1,0
THAP7-AS1,50,46,71,70,46,70,56,69,50
TUBA3FP,53,53,73,396,253,459,436,365,334
P2RX6,4,5,4,76,60,84,119,87,92
P2RX6P,1,0,1,9,4,10,8,7,7
BCRP2,16,16,21,2,0,0,26,44,28
PI4KAP2,107,97,105,198,224,212,116,131,91
FAM20C,95,96,136,256,216,191,49,35,29
MIRLET7C,12,7,8,16,8,10,11,1,6
MIRLET7A1,3,3,11,9,7,11,14,5,6
ALG3,513,457,642,844,618,854,888,888,689
AGBL5,223,213,267,974,866,1031,833,713,746
VEGFB,245,261,294,419,481,440,281,256,198
FOXN2,1375,1019,1497,2206,1305,2194,1977,1661,1572
ADGRV1,937,987,1026,1137,1114,1150,945,740,670
FBXW4P1,26,19,31,40,46,47,52,40,39
LINC02556,0,0,0,0,0,0,0,0,0
CES5AP1,0,0,0,0,0,0,0,0,0
LINC01659,0,0,0,1,2,0,0,0,1
PCAT14,1,0,2,0,1,0,3,0,0
TMEM260,130,117,174,280,236,280,209,183,177
GUSBP11,254,226,288,513,563,544,406,378,345
FBXO39,3,6,4,7,5,8,7,4,7
CEP120,721,672,872,988,716,997,1079,848,769
SMIM10L2A,36,36,61,63,72,52,102,84,84
MSS51,32,48,36,70,59,79,83,56,62
USP12,836,710,893,1236,907,1121,1327,1080,977
MIR921,0,0,0,0,3,0,0,0,0
NEK9,791,732,997,1669,1542,1719,1414,1219,1136
NKAPL,0,0,0,0,2,1,0,1,0
CLDN11,3,4,5,2,1,3,11,7,7
POM121L9P,0,0,1,0,1,0,4,3,2
SPECC1L-ADORA2A,2,3,0,1,1,5,1,3,2
ZFHX4,17,36,31,0,0,0,1,0,0
LINC00518,0,0,0,0,1,2,0,0,0
BCRP3,0,1,0,8,3,3,1,4,0
FOXD4L6,1,1,1,1,0,0,3,3,1
SORBS3,693,669,846,1157,1039,1127,1042,888,818
POLR2J3,13,18,10,16,27,17,28,17,9
CRYBB2P1,195,188,250,391,277,360,362,302,311
MIR6817,0,1,0,0,0,0,0,0,0
MAML3,3,2,7,1,0,3,5,6,3
POLR3A,595,588,699,976,993,1024,1178,1078,934
GSE1,1476,1598,1519,1990,2319,1850,1786,1521,1278
NEBL,806,627,806,3255,1950,2761,2207,1318,1438
CEROX1,8,12,17,21,19,14,119,81,82
MIR3177,3,2,2,1,6,2,4,4,0
MIR6124,0,0,0,0,0,0,1,1,0
SERAC1,153,163,188,280,184,257,186,143,179
IPMK,308,262,352,594,399,542,659,513,483
TAS1R3,9,6,6,13,3,5,3,6,3
LOC100507599,98,81,125,135,106,159,141,132,137
MIATNB,6,16,20,17,14,21,27,14,15
LOC110091768,0,1,0,0,1,0,0,1,0
TTC28-AS1,263,219,353,384,263,358,392,342,297
MIR3199-2,3,3,1,0,0,0,0,3,0
ZNF750,0,1,1,0,0,0,0,0,0
PRDM13,199,157,220,334,199,326,402,353,264
NEMF,1370,1156,1661,2309,1484,2201,2260,1584,1671
RPAP2,890,887,1074,1139,922,1228,1193,911,936
RNF122,32,28,42,40,59,45,23,19,17
PCDHA12,20,20,24,18,20,22,26,15,19
SPIN2A,2,2,1,0,0,1,0,0,0
ETAA1,580,458,640,729,506,629,706,558,550
SNORD125,14,9,10,23,22,25,14,28,26
RFPL1S,151,151,167,486,354,473,503,391,384
C9orf78,671,514,857,1001,524,983,1111,935,843
COQ8B,408,391,479,586,545,675,674,551,543
CENPU,1860,1458,2161,2595,1561,2187,2232,1702,1560
LEMD3,3062,2472,3465,4298,2815,3984,2814,2428,2122
PDCL3,668,475,762,881,502,783,588,499,479
SMIM2,0,1,2,13,9,16,6,8,5
MIR6818,1,2,2,0,1,0,0,0,1
NUDT11,421,356,575,649,361,567,542,485,476
TGFB3,68,63,68,123,123,105,236,208,198
LIF-AS1,2,1,5,0,0,0,0,0,1
LOC91370,3,6,4,3,1,2,5,5,3
NABP1,313,268,455,383,196,328,395,338,300
KIAA1656,147,139,176,178,164,201,154,126,121
GCAT,282,261,380,680,511,766,559,519,434
SUDS3,760,639,863,915,716,852,887,686,636
LOC105372990,1,2,4,0,1,1,0,1,0
ERLIN2,955,708,993,1706,993,1647,1567,1256,1219
CSK,596,514,680,1054,1022,1228,1117,981,867
